calendar_dt,store_id,target
2025-11-03,000fade4-e8dc-11ed-b10a-08c0eb31fffb,1.0
2025-11-10,000fade4-e8dc-11ed-b10a-08c0eb31fffb,1.0
2025-11-17,000fade4-e8dc-11ed-b10a-08c0eb31fffb,4.0
2025-11-03,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,1.0
2025-11-10,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,1.0
2025-11-17,0022f1b0-b8f8-11ee-b10b-08c0eb31fffb,0.0
2025-11-03,00440ac1-6a1d-11eb-85a3-1c34dae33151,1.0
2025-11-10,00440ac1-6a1d-11eb-85a3-1c34dae33151,2.0
2025-11-17,00440ac1-6a1d-11eb-85a3-1c34dae33151,1.0
2025-11-03,00442959-9671-11ec-ae6d-08c0eb320147,4.0
2025-11-10,00442959-9671-11ec-ae6d-08c0eb320147,5.0
2025-11-17,00442959-9671-11ec-ae6d-08c0eb320147,7.0
2025-11-03,00562194-569a-11ec-a0ee-ec0d9a21b021,1.0
2025-11-10,00562194-569a-11ec-a0ee-ec0d9a21b021,2.0
2025-11-17,00562194-569a-11ec-a0ee-ec0d9a21b021,4.0
2025-11-03,00872c4d-b7c8-11eb-85ab-1c34dae33151,3.0
2025-11-10,00872c4d-b7c8-11eb-85ab-1c34dae33151,6.0
2025-11-17,00872c4d-b7c8-11eb-85ab-1c34dae33151,2.0
2025-11-03,00c531ee-7d23-11ed-b970-08c0eb32008b,0.0
2025-11-10,00c531ee-7d23-11ed-b970-08c0eb32008b,10.0
2025-11-17,00c531ee-7d23-11ed-b970-08c0eb32008b,3.0
2025-11-03,00dad17e-50ee-11ef-b973-08c0eb32008b,0.0
2025-11-10,00dad17e-50ee-11ef-b973-08c0eb32008b,1.0
2025-11-17,00dad17e-50ee-11ef-b973-08c0eb32008b,3.0
2025-11-03,00f43499-3c96-11f0-9bb2-be3af2b6059f,0.0
2025-11-10,00f43499-3c96-11f0-9bb2-be3af2b6059f,3.0
2025-11-17,00f43499-3c96-11f0-9bb2-be3af2b6059f,2.0
2025-11-03,012f4970-7b40-11ef-ae7a-08c0eb320147,1.0
2025-11-10,012f4970-7b40-11ef-ae7a-08c0eb320147,3.0
2025-11-17,012f4970-7b40-11ef-ae7a-08c0eb320147,5.0
2025-11-03,0181305a-1ff8-11ee-b971-08c0eb32008b,1.0
2025-11-10,0181305a-1ff8-11ee-b971-08c0eb32008b,2.0
2025-11-17,0181305a-1ff8-11ee-b971-08c0eb32008b,1.0
2025-11-03,018c0434-f787-11ec-8859-08c0eb32014b,6.0
2025-11-10,018c0434-f787-11ec-8859-08c0eb32014b,7.0
2025-11-17,018c0434-f787-11ec-8859-08c0eb32014b,4.0
2025-11-03,01b61453-a759-11ef-8861-08c0eb32014b,0.0
2025-11-10,01b61453-a759-11ef-8861-08c0eb32014b,3.0
2025-11-17,01b61453-a759-11ef-8861-08c0eb32014b,7.0
2025-11-03,01bb6fcc-259c-11f0-9bb2-be3af2b6059f,2.0
2025-11-10,01bb6fcc-259c-11f0-9bb2-be3af2b6059f,2.0
2025-11-17,01bb6fcc-259c-11f0-9bb2-be3af2b6059f,2.0
2025-11-03,01ca88ce-d4a2-11ee-b973-08c0eb32008b,1.0
2025-11-10,01ca88ce-d4a2-11ee-b973-08c0eb32008b,1.0
2025-11-17,01ca88ce-d4a2-11ee-b973-08c0eb32008b,3.0
2025-11-03,01eca359-58f5-11ec-a0ee-ec0d9a21b021,1.0
2025-11-10,01eca359-58f5-11ec-a0ee-ec0d9a21b021,4.0
2025-11-17,01eca359-58f5-11ec-a0ee-ec0d9a21b021,6.0
2025-11-03,02074606-902a-11ee-ae7a-08c0eb320147,4.0
2025-11-10,02074606-902a-11ee-ae7a-08c0eb320147,7.0
